objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
law01,law01.jpg,,,The Revised Penal Code ,Centralbooks,,,Revised Penal Code ,Philippines,,,,,,,eng,,https://share.google/MnApI3NL3LxRVaXnz
law02,law02.jpg,,,Political Laws of the Philippines,Centralbooks,,,Political Laws ,Philippines,,,,,,,eng,,https://share.google/fKxhX1jJW1XcUT4lQ
law03,law03.jpg,,,Remedial Laws of the Philippines,Centralbooks,,,Remedial Laws ,Philippines,,,,,,,eng,,https://share.google/StRXiMrkauoJsPIAY
law04,law04.jpg,,,Civil Code of the Philippines,Centralbooks,,,Civil Code,Philippines,,,,,,,eng,,https://share.google/gQAsBPcbbWJvXuoKQ
law05,law05.jpg,,,Introduction to Philippine Legislation,Centralbooks,,,Legislation,Philippines,,,,,,,eng,,https://share.google/30TAiE6SLv6iNDUKH
law06,law06.jpg,,,Legal and Judicial Ethics,Rex Education,,,Legal and Judicial Ethics,Philippines,,,,,,,eng,,https://share.google/sZNk3OvU8KsDMXv21
law07,law07.jpg,,,Basic Legal Ethics,Rex Education,,,Legal Ethics,Philippines,,,,,,,eng,,https://share.google/lMig1xQDI0RuH0v9P
law08,law08.jpg,,,Criminal Procedure,Rex Education,,,Criminal Procedure,Philippines,,,,,,,eng,,https://share.google/jD5j4caFfTzvvbEjH
law09,law09.pdf,,,AN ACT TO ORDAIN AND INSTITUTE THE CIVIL CODE OF THE PHILIPPINES,LawPhil,,,Civil Code of the Philippines,Philippines,,,,,,,eng,,https://lawphil.net/statutes/repacts/ra1949/pdf/ra_386_1949.pdf
law10,law10.mp4,Criminal Law Part 1 Pre Bar Review, ,Criminal Law Part 1 Pre Bar Review,Pinoy vLaWgs,6 years ago,BAR REVIEWER from UST,Criminal Law,University of Santo Thomas,,,,,,,eng,,https://youtu.be/02CtJKi8Dyc?si=RnXAwGzCdST6Sw-6